TIPO,CATEGORIAS,CLASIFICACION,DETALLE CLASIFICACION
EGRESO,"GASTOS DE SALARIOS, PLANILLAS Y OTROS",PERSONAL CONTRATADO,Planillas de salarios
EGRESO,"GASTOS DE SALARIOS, PLANILLAS Y OTROS",PERSONAL CONTRATADO,Decimo tercer mes
EGRESO,"GASTOS DE SALARIOS, PLANILLAS Y OTROS",PERSONAL CONTRATADO,Vacaciones
EGRESO,"GASTOS DE SALARIOS, PLANILLAS Y OTROS",PERSONAL CONTRATADO,Prestaciones laborales
EGRESO,"GASTOS DE SALARIOS, PLANILLAS Y OTROS",PERSONAL CONTRATADO,Liquidacion
EGRESO,"GASTOS DE SALARIOS, PLANILLAS Y OTROS",PERSONAL CONTRATADO,Otros gastos de personal
EGRESO,SERVICIOS BASICOS Y DE CONSUMO,SERVICIOS BASICOS Y DE CONSUMO,Consumo gas
EGRESO,SERVICIOS BASICOS Y DE CONSUMO,SERVICIOS BASICOS Y DE CONSUMO,Consumo electricidad
EGRESO,SERVICIOS BASICOS Y DE CONSUMO,SERVICIOS BASICOS Y DE CONSUMO,Consumo agua
EGRESO,SERVICIOS BASICOS Y DE CONSUMO,SERVICIOS BASICOS Y DE CONSUMO,"Telefono, Internet y TV"
EGRESO,SERVICIOS BASICOS Y DE CONSUMO,SERVICIOS BASICOS Y DE CONSUMO,Recoleccion de basura
EGRESO,SERVICIOS BASICOS Y DE CONSUMO,SERVICIOS BASICOS Y DE CONSUMO,Otros gastos de consumo
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de seguridad y vigilancia
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de pintura
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios electricos
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de sistema de incendios
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de limpieza
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de elevadores
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios sanitarios y plomeria
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de Jardineria
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de fumigacion
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de pulido
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Servicios de mensajeria
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",SERVICIOS OPERATIVOS,Otros servicios operativos
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",INSUMOS OPERATIVOS,Insumos de pintura
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",INSUMOS OPERATIVOS,Insumos electricos
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",INSUMOS OPERATIVOS,Insumos de sistema de incendios
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",INSUMOS OPERATIVOS,Insumos de limpieza
EGRESO,"OPERACION, REPARACION Y MANTENIMIENTO",INSUMOS OPERATIVOS,Insumos de elevadores
